% FILE: Data_Stagiaire.txt
%
%       t             Box            Boy         a_B1_N_Bx      a_B1_N_By        w_B_N           qC
%     (sec)           (m)            (m)          (m/s^2)        (m/s^2)        (rad/s)         (rad)

  0.000000E+00  -5.936337E-02  -3.709435E-02   1.983306E-01  -7.470452E-03   3.141593E-01   1.221730E-01 
  5.000000E-03  -5.902093E-02  -3.763681E-02   1.872528E-01   1.117098E-02   3.214707E-01   1.146380E-01 
  1.000000E-02  -5.867359E-02  -3.817604E-02   1.767204E-01   2.861656E-02   3.285354E-01   1.070501E-01 
  1.500000E-02  -5.832156E-02  -3.871170E-02   1.667435E-01   4.491516E-02   3.353405E-01   9.942057E-02 
  2.000000E-02  -5.796508E-02  -3.924346E-02   1.573276E-01   6.011615E-02   3.418749E-01   9.176057E-02 
  2.500000E-02  -5.760437E-02  -3.977105E-02   1.484741E-01   7.426915E-02   3.481288E-01   8.408104E-02 
  3.000000E-02  -5.723964E-02  -4.029422E-02   1.401804E-01   8.742388E-02   3.540942E-01   7.639277E-02 
  3.500000E-02  -5.687108E-02  -4.081275E-02   1.324398E-01   9.962991E-02   3.597647E-01   6.870640E-02 
  4.000000E-02  -5.649889E-02  -4.132645E-02   1.252420E-01   1.109366E-01   3.651351E-01   6.103235E-02 
  4.500000E-02  -5.612324E-02  -4.183517E-02   1.185736E-01   1.213927E-01   3.702020E-01   5.338082E-02 
  5.000000E-02  -5.574432E-02  -4.233877E-02   1.124177E-01   1.310466E-01   3.749633E-01   4.576179E-02 
  5.500000E-02  -5.536227E-02  -4.283713E-02   1.067547E-01   1.399457E-01   3.794180E-01   3.818497E-02 
  6.000000E-02  -5.497725E-02  -4.333016E-02   1.015628E-01   1.481368E-01   3.835668E-01   3.065981E-02 
  6.500000E-02  -5.458940E-02  -4.381778E-02   9.681785E-02   1.556656E-01   3.874112E-01   2.319547E-02 
  7.000000E-02  -5.419884E-02  -4.429995E-02   9.249403E-02   1.625766E-01   3.909541E-01   1.580081E-02 
  7.500000E-02  -5.380572E-02  -4.477661E-02   8.856413E-02   1.689131E-01   3.941990E-01   8.484385E-03 
  8.000000E-02  -5.341013E-02  -4.524775E-02   8.499991E-02   1.747173E-01   3.971506E-01   1.254422E-03 
  8.500000E-02  -5.301218E-02  -4.571334E-02   8.177240E-02   1.800296E-01   3.998143E-01  -5.881175E-03 
  9.000000E-02  -5.261197E-02  -4.617338E-02   7.885228E-02   1.848893E-01   4.021962E-01  -1.291484E-02 
  9.500000E-02  -5.220959E-02  -4.662788E-02   7.621015E-02   1.893338E-01   4.043030E-01  -1.983934E-02 
  1.000000E-01  -5.180512E-02  -4.707685E-02   7.381683E-02   1.933990E-01   4.061417E-01  -2.664781E-02 
  1.050000E-01  -5.139864E-02  -4.752030E-02   7.164360E-02   1.971190E-01   4.077199E-01  -3.333371E-02 
  1.100000E-01  -5.099023E-02  -4.795827E-02   6.966249E-02   2.005263E-01   4.090455E-01  -3.989087E-02 
  1.150000E-01  -5.057995E-02  -4.839079E-02   6.784641E-02   2.036514E-01   4.101264E-01  -4.631346E-02 
  1.200000E-01  -5.016786E-02  -4.881788E-02   6.616940E-02   2.065232E-01   4.109709E-01  -5.259599E-02 
